caminho;origem;acesso
cotahist/COTAHIST_A1999.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A1999.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2000.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2000.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2001.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2001.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2002.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2002.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2003.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2003.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2004.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2004.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2005.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2005.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2006.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2006.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2007.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2007.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2008.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2008.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2009.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2009.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2010.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2010.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2011.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2011.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2012.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2012.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2013.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2013.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2014.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2014.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2015.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2015.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2016.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2016.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2017.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2017.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2018.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2018.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2019.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2019.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2020.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2020.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2021.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2021.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2022.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2022.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2023.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2023.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2024.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2024.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2025.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2025.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
cotahist/COTAHIST_A2026.ZIP;https://bvmf.bmfbovespa.com.br/InstDados/SerHist/COTAHIST_A2026.ZIP -- GET direto (Invoke-WebRequest, script PowerShell dele);2026-09-18
